"road","chainage","lrp","lat","lon","type","name"
"R545","31.475","LRP031a","24.8338608","89.0776104","Bridge","Bridge start"
"R545","31.488","LRP031b","24.8338052","89.0774716","Bridge","Bridge end"
"R545","31.813","LRP031c","24.8330549","89.0744438","CrossRoad","Intersection with Z5459"
"R545","31.885","LRP032","24.832916","89.0741382","KmPost","Km post missing"
"R545","32.085","LRP032a","24.8321104","89.0718049","Culvert","Box Culvert"
"R545","32.69","LRP032b","24.830166","89.0661667","Culvert","Box Culvert"
"R545","32.91","LRP033","24.8294993","89.06425","KmPost","Info missing"
"R545","33.612","LRP033a","24.8272771","89.0578333","Culvert","Box Culvert"
"R545","33.92","LRP034","24.8263049","89.0550278","KmPost","Info missing"
"R545","34.263","LRP034a","24.8251938","89.0518056","Culvert","Box Culvert"
"R545","35","LRP035","24.8230827","89.0449441","KmPost","Info missing"
"R545","35.623","LRP035a","24.8213049","89.039083","Culvert","Box Culvert"
"R545","35.864","LRP035b","24.8206104","89.036833","Bridge","Bridge start"
"R545","35.882","LRP035c","24.8207216","89.0366386","Bridge","Bridge end"
"R545","36","LRP036","24.8201104","89.0352497","KmPost","Km post missing"
"R545","36.965","LRP037","24.8178882","89.0260271","KmPost","Info missing"
"R545","37.075","LRP037a","24.817666","89.0249993","Bridge","Bridge start"
"R545","37.094","LRP037b","24.8176382","89.0248049","Bridge","Bridge end"
"R545","37.965","LRP038","24.8159722","89.0163333","KmPost","Info missing"
"R545","38.565","LRP038a","24.8150833","89.0105833","SideRoad,Left","Road to Shantahar (R546)"
"R545","38.965","LRP039","24.8176382","89.0005278","KmPost","Km post missing"
"R545","39.232","LRP039a","24.816666","89.0043333","Culvert","Box Culvert"
"R545","39.907","LRP039b","24.8181104","88.9978886","Culvert","Under Construction"
"R545","39.991","LRP040","24.8184438","88.9972219","KmPost","Info missing"
"R545","40.007","LRP040a","24.8184716","88.9970552","Culvert","Box Culvert"
"R545","40.823","LRP040b","24.8196938","88.9892497","Culvert","Box Culvert"
"R545","41","LRP041","24.8193049","88.9875274","KmPost","Info missing"
"R545","41.014","LRP041a","24.8192493","88.987333","RailRoadCrossing","Rail Road Ceossing"
"R545","41.034","LRP041b","24.819166","88.9871386","Culvert","Box Culvert"
"R545","41.26","LRP041c","24.8184993","88.9854163","SideRoad,Right","Road to Tilakpur (Z5478)"
"R545","41.595","LRP041d","24.8165556","88.9827771","Bridge","Bridge start"
"R545","41.607","LRP041e","24.8163889","88.9824993","Bridge","Bridge end"
"R545","41.84","LRP041f","24.8146944","88.9810827","SideRoad,Right","N516"
"R545","41.892","LRP041g","24.8142778","88.9808604","Culvert","Box Culvert"
"R545","42","LRP042","24.8135","88.9804438","KmPost","Info missing"
"R545","42.713","LRP042a","24.8073611","88.9785271","Culvert","Box Culvert"
"R545","42.794","LRP042b","24.8066944","88.9782216","SideRoad,Left","Road to Rail ghat (R546)"
"R545","42.811","LRP042c","24.8066389","88.9781382","Others","Start RHD Naogaon"
"R545","42.811","LRP042c","24.8066389","88.9781382","Others","Start RHD Naogaon"
"R545","42.815","LRP042d","24.8064444","88.9779993","SideRoad,Left","Road to Raninagar (R544)"
"R545","43","LRP043","24.8058889","88.9761382","KmPost","Km post missing"
"R545","43.04","LRP043a","24.80575","88.9757771","Culvert","Box Culvert"
"R545","43.318","LRP043b","24.8051667","88.973166","Culvert","Box Culvert"
"R545","44","LRP044","24.8038056","88.9666111","KmPost","Km post broken"
"R545","44.471","LRP044a","24.80375","88.9619444","SideRoad,Left","Road to Natore (R548)"
"R545","44.912","LRP044b","24.8043889","88.9576389","Bridge","Bridge start"
"R545","44.944","LRP044c","24.8044167","88.9573333","Bridge","Bridge end"
"R545","45","LRP045","24.8045","88.9566667","KmPost","Km post missing"
"R545","45.497","LRP045a","24.8058333","88.952","Culvert","Box Culvert"
"R545","46","LRP046","24.8077778","88.9477774","KmPost","Rajshahi 83 km"
"R545","46.104","LRP046a","24.8079167","88.9467497","Bridge","Bridge start"
"R545","46.196","LRP046b","24.8080278","88.9458608","Bridge","Bridge end"
"R545","46.25","LRP046c","24.8080556","88.9452774","Monument","Shadhinata,"
"R545","47","LRP047","24.8121667","88.9405274","KmPost","Km post missing"
"R545","47.693","LRP047a","24.817916","88.9383608","Culvert","Box Culvert"
"R545","47.995","LRP048","24.8195271","88.9359997","KmPost","C. Mushia 11 km"
"R545","48.303","LRP048a","24.8213604","88.933833","Culvert","Box Culvert"
"R545","49","LRP049","24.8259438","88.9291938","KmPost","Rajshahi 80 km"
"R545","49.96","LRP049a","24.832666","88.9233882","Bridge","Bridge start"
"R545","49.973","LRP049b","24.832666","88.9233049","Bridge","Bridge end"
"R545","50","LRP050","24.8327771","88.9227771","KmPost","Km post missing"
"R545","50.098","LRP050a","24.832916","88.9218327","SideRoad,Right","Road to Badalgachhi (R547)"
"R545","50.985","LRP050b","24.8364441","88.9141944","Bridge","Bridge start"
"R545","51","LRP051","24.8366108","88.9140278","KmPost","Km post missing"
"R545","51.03","LRP051a","24.8367219","88.9138333","Bridge","Bridge end"
"R545","51.35","LRP051b","24.838833","88.9114167","SideRoad,Right","Naogaon town by pass road (N516)"
"R545","51.565","LRP051c","24.8393608","88.91025","Bridge","Bridge start"
"R545","51.858","LRP051d","24.8394163","88.9100556","Bridge","Bridge end"
"R545","52","LRP052","24.8419441","88.9066667","KmPost","C. Mushia 7 km"
"R545","52.035","LRP052a","24.8422497","88.9065833","Bridge","Bridge start"
"R545","52.052","LRP052b","24.8424163","88.9065278","Bridge","Bridge end"
"R545","53","LRP053","24.8497774","88.9023056","KmPost","Km post missing"
"R545","53.132","LRP053a","24.8504444","88.9011944","Culvert","Box Culvert"
"R545","54","LRP054","24.8531111","88.8931663","KmPost","Rajshahi 75 km"
"R545","54.77","LRP054a","24.8552778","88.885833","Bridge","Bridge start"
"R545","54.78","LRP054b","24.8552778","88.8857774","Bridge","Bridge end"
"R545","54.98","LRP055","24.8558889","88.8839163","KmPost","C. Musia 4 km"
"R545","55.99","LRP056","24.8555","88.8743882","KmPost","C. Musia 3 km"
"R545","57","LRP057","24.8584167","88.8650833","KmPost","Rajshahi 72 km"
"R545","57.127","LRP057a","24.8591667","88.8641389","Bridge","Bridge start"
"R545","57.165","LRP057b","24.8593611","88.8638611","Bridge","Bridge end"
"R545","58","LRP058","24.8631667","88.8569444","KmPost","Rajshahi 71 km"
"R545","58.736","LRP058a","24.8648056","88.8498886","Culvert","Box Culvert"
"R545","59","LRP059","24.8654167","88.8472219","KmPost","Km post missing"
"R545","59.057","LRP059a","24.8655556","88.8466663","SideRoad,Left","Road to Rajshahi (R685)"
"R545","59.6","LRP059b","24.8668327","88.8413886","SideRoad,Right","Road to Mathajirhat (Z5458)"
"R545","60","LRP060","24.8676382","88.8376108","KmPost","Mahadebpur 11 km"
"R545","60.054","LRP060a","24.8677771","88.8370274","Culvert","Box Culvert"
"R545","61","LRP061","24.8698604","88.8279438","KmPost","Pantala 24 km"
"R545","62","LRP062","24.8754438","88.8198327","KmPost","Km post missing"
"R545","63","LRP063","24.8798327","88.8120278","KmPost","Patnitala 22 km"
"R545","63.82","LRP063a","24.8842497","88.8056389","Bridge","Bridge start"
"R545","63.85","LRP063b","24.8844441","88.8053889","Bridge","Bridge end"
"R545","64","LRP064","24.8853886","88.80425","KmPost","Info missing"
"R545","64.99","LRP065","24.8906663","88.7963608","KmPost","Mohadebpur 6 km"
"R545","66","LRP066","24.8960274","88.7879719","KmPost","Patnitala 19 km"
"R545","66.884","LRP066a","24.9005","88.7806938","Culvert","Box Culvert"
"R545","67","LRP067","24.9009167","88.779666","KmPost","Km post missing"
"R545","67.03","LRP067a","24.9010278","88.779416","Culvert","Box Culvert"
"R545","67.212","LRP067b","24.9017778","88.7775549","Culvert","Box Culvert"
"R545","67.702","LRP067c","24.9035","88.7731104","Bridge","Bridge start"
"R545","67.718","LRP067d","24.9035556","88.7729438","Bridge","Bridge end"
"R545","67.914","LRP067e","24.90425","88.7711104","Culvert","Box Culvert"
"R545","67.93","LRP068","24.9043056","88.7709438","KmPost","Sapahar 37 km"
"R545","68.631","LRP068a","24.9061667","88.7646667","Culvert","Box Culvert"
"R545","68.93","LRP069","24.9071111","88.7618889","KmPost","Km post missing"
"R545","69.33","LRP069a","24.9078056","88.7579167","Bridge","Bridge start"
"R545","69.373","LRP069b","24.9079167","88.7575","Bridge","Bridge end"
"R545","69.96","LRP070","24.9113611","88.7533056","KmPost","Km post broken"
"R545","70.66","LRP070a","24.9172493","88.7517222","SideRoad,Left","Road to Shibpur (Z5456)"
"R545","70.985","LRP071","24.9200827","88.7510278","KmPost","Joypurhat 51 km"
"R545","72","LRP072","24.9289438","88.7491941","KmPost","Dhamuirhat 30 km"
"R545","72.881","LRP072a","24.9368052","88.7483608","Culvert","Box Culvert"
"R545","73","LRP073","24.938083","88.7482774","KmPost","Km post broken"
"R545","73.542","LRP073a","24.942833","88.7468886","Culvert","Box Culvert"
"R545","73.842","LRP073b","24.9454163","88.7468886","Culvert","Box Culvert"
"R545","73.985","LRP074","24.9466663","88.7468052","KmPost","Nitpur 55 km"
"R545","74.585","LRP074a","24.9520833","88.7468886","SideRoad,Left","Road to Proshadpur (Z5463)"
"R545","74.845","LRP074b","24.9542778","88.7474441","Culvert","Box Culvert"
"R545","75","LRP075","24.9556667","88.7474441","KmPost","Porsha 51 km"
"R545","75.246","LRP075a","24.9579444","88.7474719","Culvert","Box Culvert"
"R545","76","LRP076","24.9646389","88.7472497","KmPost","Km post missing"
"R545","76.883","LRP076a","24.9725549","88.7474997","Culvert","Box Culvert"
"R545","77","LRP077","24.9736104","88.7476663","KmPost","Patnitala 8 km"
"R545","77.176","LRP077a","24.9753327","88.7478886","Culvert","Box Culvert"
"R545","78","LRP078","24.9827216","88.7492219","KmPost","Km post missing"
"R545","78.856","LRP078a","24.9903608","88.7504167","Culvert","Box Culvert"
"R545","78.982","LRP079","24.9914997","88.7505833","KmPost","Patnitali 06 km"
"R545","79.213","LRP079a","24.9936941","88.7508889","Culvert","Box Culvert"
"R545","79.817","LRP079b","24.9989441","88.7516389","Culvert","Box Culvert"
"R545","79.982","LRP080","25.0004167","88.7519167","KmPost","Km post missing"
"R545","80.185","LRP080a","25.0021389","88.7522222","Culvert","Box Culvert"
"R545","80.726","LRP080b","25.0069444","88.7529722","Culvert","Box culvert"
"R545","80.982","LRP081","25.0093889","88.7532778","KmPost","Km post missing"
"R545","81.914","LRP081a","25.0173604","88.7554167","Culvert","Box Culvert"
"R545","81.982","LRP082","25.017916","88.7555833","KmPost","Km post missing"
"R545","82.572","LRP082a","25.0230827","88.7569167","Culvert","Box  Culvert"
"R545","82.982","LRP083","25.0268882","88.7576389","KmPost","Km post missing"
"R545","83.259","LRP083a","25.029166","88.7578889","Culvert","Box Culvert"
"R545","84.025","LRP084","25.0357774","88.7595556","KmPost","Patnitala 1 km"
"R545","84.63","LRP084a","25.0413886","88.7601944","CrossRoad","Intersection with R547"
"R545","84.785","LRP084b","25.0416663","88.7603889","Culvert","Cross Drain"
"R545","85.025","LRP085","25.0443886","88.7608889","KmPost","Km post missing"
"R545","86.032","LRP086","25.0535278","88.7628889","KmPost","Dhamoirhat 15 km"
"R545","87.01","LRP086a","25.0605278","88.7686382","Culvert","Box Culvert"
"R545","87.032","LRP087","25.0607778","88.7690549","KmPost","Km post missing"
"R545","88.032","LRP088","25.0667216","88.7758882","KmPost","Km post missing"
"R545","88.555","LRP088a","25.0701382","88.7799993","Culvert","Box Culvert"
"R545","89.02","LRP089","25.0728604","88.7831382","KmPost","Dhamoirhat 12 km"
"R545","90","LRP090","25.0789993","88.7903608","KmPost","Dhamoirhat 11 km"
"R545","90.008","LRP090a","25.0790549","88.7903886","Culvert","Box Culvert"
"R545","91","LRP091","25.0851663","88.797583","KmPost","Dhamoirhat 10 km"
"R545","91.734","LRP091a","25.089583","88.8029722","Bridge","Bridge start"
"R545","91.75","LRP091b","25.0896941","88.8031111","Bridge","Bridge end"
"R545","91.843","LRP091c","25.0901941","88.8037222","Culvert","Box Culvert"
"R545","92","LRP092","25.0911386","88.8050833","KmPost","Infor.missing"
"R545","93","LRP093","25.0964441","88.813","KmPost","Km post missing"
"R545","93.992","LRP094","25.1019444","88.8204716","KmPost","Dhamoirhat 7 km"
"R545","94.193","LRP094a","25.1033611","88.8215549","Culvert","Box Culvert"
"R545","94.576","LRP094b","25.1061111","88.8238049","Culvert","Box Culvert"
"R545","94.777","LRP094c","25.1075278","88.8249716","Culvert","Box Culvert"
"R545","95.015","LRP095","25.1093056","88.8263327","KmPost","Dhamoirhat 6 km"
"R545","95.427","LRP095a","25.1125833","88.8285271","Culvert","Box Culvert"
"R545","95.952","LRP095b","25.1168882","88.8299438","Culvert","Box Culvert"
"R545","96.02","LRP096","25.1175271","88.8301382","KmPost","Info missing"
"R545","97","LRP097","25.1259993","88.8333608","KmPost","Info missing"
"R545","97.175","LRP097a","25.1273049","88.834333","Bridge","Bridge start"
"R545","97.227","LRP097b","25.1277216","88.8346663","Bridge","Bridge end"
"R545","98","LRP098","25.1339719","88.8374997","KmPost","Info missing"
"R545","99","LRP099","25.1429997","88.8378608","KmPost","Info missing"
"R545","100","LRP100","25.1519167","88.8395552","KmPost","Info missing"
"R545","100.41","LRP100a","25.1514444","88.8435274","Bridge","Under Construction"
"R545","100.613","LRP100b","25.1514444","88.8439719","Bridge","Bridge end"
"R545","100.99","LRP101","25.1509444","88.8492497","KmPost","Dhamoirhat 0 km"
"R545","101.99","LRP102","25.1478886","88.8586667","KmPost","Km post missing"
"R545","102.035","LRP102a","25.1476386","88.8589167","Bridge","Bridge start"
"R545","102.073","LRP102b","25.1473886","88.8591667","Bridge","Bridge end"
"R545","102.99","LRP103","25.1413052","88.8655833","KmPost","Km post missing"
"R545","103.309","LRP103a","25.1401386","88.8683327","Culvert","Box Culvert"
"R545","103.99","LRP104","25.1374719","88.8744438","KmPost","Km post missing"
"R545","104.375","LRP104a","25.1365274","88.8779993","Culvert","Box culvert"
"R545","104.99","LRP105","25.1373886","88.8842774","KmPost","Km post missing"
"R545","105.12","LRP106","25.1376108","88.8854441","KmPost","Info missing"
"R545","106","LRP106a","25.1400552","88.8936663","Bridge","Bridge start"
"R545","106.017","LRP106b","25.1401386","88.8938608","Bridge","Bridge end"
"R545","106.135","LRP107","25.1407774","88.8949719","KmPost","Info missing"
"R545","107","LRP107a","25.1381663","88.9031389","Bridge","Under construction"
"R545","107.127","LRP108","25.1374719","88.9041389","KmPost","Info missing"
"R545","107.371","LRP108a","25.1363886","88.9062222","Culvert","Box Culvert"
"R545","108.127","LRP109","25.1282771","88.9184438","KmPost","Km post missing"
"R545","109.14","LRP110","25.1261382","88.9206938","KmPost","Info missing"
"R545","109.561","LRP110a","25.1238049","88.9230549","Culvert","Box Culvert"
"R545","110.14","LRP111","25.1206382","88.9277493","KmPost","Km post missing"
"R545","110.508","LRP111a","25.1192216","88.9305549","Culvert","Box Culvert"
"R545","111.14","LRP112","25.1164444","88.936083","KmPost","Km post missing"
"R545","111.605","LRP112a","25.1155","88.9404719","Others","Start RHD Joypurhat"
"R545","111.605","LRP112a","25.1155","88.9404719","Others","Start RHD Joypurhat"
"R545","112.163","LRP112b","25.1131389","88.944833","Culvert","Box Culvert"
"R545","112.227","LRP112c","25.1128611","88.9453886","Culvert","Box Culvert"
"R545","112.34","LRP112d","25.11275","88.9464163","Bridge","Bridge start"
"R545","112.353","LRP112e","25.11275","88.9465274","Bridge","Bridge end"
"R545","112.424","LRP112f","25.1127222","88.9472219","Culvert","Box Culvert"
"R545","112.518","LRP112g","25.1126389","88.9481386","Culvert","Box Culvert"
"R545","112.913","LRP112h","25.1123611","88.9520556","Culvert","Box Culvert"
"R545","113.14","LRP113","25.1121944","88.9540278","KmPost","Km post missing"
"R545","113.693","LRP113a","25.1118056","88.9595833","Culvert","Box Culvert"
"R545","113.956","LRP113b","25.1116111","88.9621111","Culvert","Box Culvert"
"R545","114.14","LRP114","25.1114167","88.9641389","KmPost","Km post missing"
"R545","114.553","LRP114a","25.1111944","88.9678604","Culvert","Box Culvert"
"R545","115.14","LRP115","25.11125","88.9737216","KmPost","Km post missing"
"R545","116.14","LRP116","25.1114444","88.9837774","KmPost","Km post missing"
"R545","116.372","LRP116a","25.1011389","88.9857774","Culvert","Box Culvert"
"R545","116.654","LRP116b","25.1114167","88.9884441","Bridge","Bridge start"
"R545","116.73","LRP116c","25.11075","88.9884997","Bridge","Bridge end"
"R545","116.83","LRP117","25.11","88.9889163","KmPost","Info missing"
"R545","117.124","LRP117a","25.1093611","88.991333","Culvert","Box Culvert"
"R545","117.523","LRP117b","25.1069722","88.9942497","Culvert","Box Culvert"
"R545","117.712","LRP117c","25.1064167","88.995833","Culvert","Box Culvert"
"R545","117.752","LRP117d","25.1066111","88.9962497","Others","Sluice ghat"
"R545","117.83","LRP118","25.1062222","88.9969719","KmPost","Km post missing"
"R545","118.18","LRP118a","25.1057222","89.0000833","SideRoad,Right","Road to Paharpur (R549)"
"R545","118.83","LRP119","25.1052778","89.007","KmPost","Km post missing"
"R545","119.427","LRP119a","25.1050833","89.0123333","Culvert","Box Culvert"
"R545","119.83","LRP120","25.1045556","89.0170271","KmPost","Km post missing"
"R545","120.309","LRP120a","25.1039444","89.0208327","Culvert","Box Culvert"
"R545","120.526","LRP120b","25.1034722","89.0224993","Culvert","Box Culvert"
"R545","120.83","LRP121","25.1026389","89.0259993","KmPost","Km post missing"
"R545","120.872","LRP121a","25.1026389","89.0262216","RailRoadCrossing","Rail road Crossing"
"R545","120.93","LRPE","25.1025556","89.0268049","Others","End at Pachur more Joypurhat and meet with R550."
"R546","0","LRPS","24.8065278","88.9780827","Others","Road start at Dhaka road more Char matha Intersection at R 546 & R 545 Shantahar Naogaon."
"R546","0.064","LRPSa","24.8066944","88.978666","Bridge","R.C.C Bridge start"
"R546","0.082","LRPSb","24.7900552","88.9788049","Bridge","R.C.C Bridge end"
"R546","0.788","LRPSc","24.7918886","88.9854163","Culvert","Box Culvert"
"R546","0.845","LRPSd","24.8086389","88.9859997","RailRoadCrossing","Khulna Sayedpur rail"
"R546","0.885","LRPSe","24.8087222","88.9864441","RailRoadCrossing","To Bogra Rail"
"R546","1","LRP001","24.8090556","88.9876386","KmPost","Km post missing"
"R546","1.534","LRP001a","24.8113056","88.9920274","Culvert","Cross Drain"
"R546","1.85","LRP002","24.8123611","88.9949441","KmPost","Infor.missing"
"R546","2.034","LRP002a","24.8126667","88.996833","Bridge","Bridge start"
"R546","2.06","LRP002b","24.8127222","88.9970274","Bridge","Bridge end"
"R546","2.85","LRP002c","24.8142778","89.0059444","Culvert","Box Culvert"
"R546","2.985","LRP003","24.8140556","89.0046667","KmPost","Km post missing"
"R546","3.172","LRP003a","24.8146111","89.0077778","RailRoadCrossing","Rail road crossing"
"R546","3.46","LRPE","24.8150833","89.0105833","Others","Road end Dhaka road, Purbo matha, Shantahar Bogra Intersection with R 545."
"R547","0","LRPS","24.8329716","88.9218882","Others","Road start from R 545 at Baludanga busstand Naogaon"
"R547","0.7","LRPSa","24.8390274","88.9240271","CrossRoad","Naogaon Bypass, N 516"
"R547","1","LRP001","24.8414997","88.9251938","KmPost","Km post misssing"
"R547","1.93","LRP002","24.8494163","88.9278049","KmPost","Badalgachhi 14 km"
"R547","1.938","LRP002a","24.8495552","88.9276938","Culvert","Box culvert"
"R547","2.74","LRP002b","24.8558889","88.9250827","Culvert","Box Culvert"
"R547","3","LRP003","24.8580556","88.9238882","KmPost","Badalgachhi 13 km"
"R547","3.3","LRP003a","24.8603889","88.9226104","Bridge","R.C.C Bridge start"
"R547","3.33","LRP003b","24.8605833","88.9224993","Bridge","R.C.C Bridge end"
"R547","4.03","LRP004","24.8664444","88.9204993","KmPost","Badalgachhi 12 km"
"R547","4.94","LRP005","24.8745271","88.920666","KmPost","Badalgachhi 11 km"
"R547","5.062","LRP005a","24.8755827","88.9207216","Culvert","Box culvert"
"R547","6.03","LRP006","24.8843052","88.9199716","KmPost","Badalgachhi 10 km"
"R547","7.04","LRP007","24.8926108","88.9195827","KmPost","Km post Broken"
"R547","7.285","LRP007a","24.894833","88.9198604","Culvert","Box culvert"
"R547","8.04","LRP008","24.9012222","88.9187771","KmPost","Badalgachhi 8 km"
"R547","8.512","LRP008a","24.9045278","88.9162778","Culvert","Box culvert"
"R547","9.04","LRP009","24.9091389","88.9145556","KmPost","Km post missing"
"R547","9.631","LRP009a","24.9141667","88.9124722","Culvert","Box Culvert"
"R547","10.04","LRP010","24.9172493","88.9109167","KmPost","Km post missing"
"R547","10.8","LRP011","24.9243327","88.9095833","KmPost","Badalgachhi 5 km"
"R547","11.562","LRP011a","24.9308049","88.91","Culvert","Box culvert"
"R547","11.895","LRP011b","24.9338052","88.9098611","Culvert","Box culvert"
"R547","12.02","LRP012","24.9351108","88.9092222","KmPost","Badalgachhi 4 km"
"R547","12.363","LRP012a","24.9376386","88.9081667","Culvert","Box Culvert"
"R547","13.2","LRP013","24.9434997","88.9057222","KmPost","Badalgachhi 3 km"
"R547","14.025","LRP014","24.9521944","88.9072778","KmPost","Badalgachhi 2 km"
"R547","15.025","LRP015","24.9610278","88.9078611","KmPost","Km post missing"
"R547","15.226","LRP015a","24.9615833","88.9063333","Culvert","Box Culvert"
"R547","15.93","LRP015b","24.9650833","88.9039444","SideRoad,Right","Road to Joypurhat Z 5452"
"R547","16.03","LRP016","24.9653333","88.9000556","KmPost","Km post broken"
"R547","17.03","LRP017","24.9680827","88.890583","KmPost","Km post missing"
"R547","17.157","LRP017a","24.975916","88.8921108","Culvert","Box culvert"
"R547","17.74","LRP018","24.9693327","88.8866663","KmPost","Patnitala 15 km"
"R547","17.974","LRP018a","24.9699993","88.8847219","Culvert","Box Culvert"
"R547","18.191","LRP018b","24.9706104","88.8827771","Culvert","Box culvert"
"R547","18.74","LRP019","24.9723882","88.8772216","KmPost","Km post missing"
"R547","18.87","LRP019a","24.9727771","88.8777493","Culvert","Box Culvert"
"R547","19.003","LRP019b","24.9731382","88.8751938","Culvert","Box culvert"
"R547","19.086","LRP019c","24.9733327","88.873666","Culvert","Box Culvert"
"R547","19.548","LRP019d","24.9748049","88.8701382","Culvert","Box Culvert"
"R547","19.74","LRP020","24.9753604","88.8768049","KmPost","Km post missing"
"R547","19.832","LRP020a","24.9756104","88.8676382","Culvert","Box Culvert"
"R547","20.74","LRP021","24.9784716","88.8590833","KmPost","Km post missing"
"R547","21.635","LRP021a","24.9811104","88.8509444","Bridge","R.C.C Bridge start"
"R547","21.675","LRP021b","24.9812493","88.8505833","Bridge","R.C.C Bridge end"
"R547","21.74","LRP022","24.9814716","88.8497774","KmPost","Km post missing"
"R547","22.74","LRP023","24.999583","88.8401386","KmPost","Km post missing"
"R547","22.92","LRP023a","24.9831104","88.8384997","SideRoad,Left","Naowhata road Z 5458"
"R547","23.228","LRP023b","24.9846386","88.8359719","Culvert","Box Culvert"
"R547","23.74","LRP024","24.9873886","88.8319716","KmPost","Km post missing"
"R547","24.765","LRP024a","24.9937219","88.8248049","Culvert","Box culvert"
"R547","25.23","LRP025","24.9966386","88.821416","KmPost","Km post missing"
"R547","26.165","LRP025a","25.0025278","88.8149722","Culvert","Box Culvert"
"R547","26.23","LRP026","25.0030556","88.8144722","KmPost","Km post missing"
"R547","26.758","LRP026a","25.0066111","88.811","Culvert","Box Culvert"
"R547","27.23","LRP027","25.01","88.8076667","KmPost","Km post missing"
"R547","28.23","LRP028","25.0163056","88.8010556","KmPost","Km post missing"
"R547","29.23","LRP029","25.0206104","88.7924441","KmPost","Km post missing"
"R547","29.484","LRP029a","25.021666","88.790333","Culvert","Box Culvert"
"R547","30.23","LRP030","25.0256104","88.7843608","KmPost","Km post missing"
"R547","30.317","LRP030a","25.0261104","88.7836663","Culvert","Box Culvert"
"R547","31.23","LRP031","25.0308604","88.7764438","KmPost","Km post missing"
"R547","31.78","LRP031a","25.0337497","88.7720827","Culvert","Pipe Culvert"
"R547","32.23","LRP032","25.0361108","88.7685271","KmPost","Km post missing"
"R547","33.23","LRP033","25.041833","88.7604444","KmPost","Km post missing"
"R547","33.25","LRP033a","25.041333","88.7603611","CrossRoad","Intersection with R 545"
"R547","34.245","LRP033b","25.0446108","88.7515833","Culvert","Box Culvert"
"R547","34.29","LRP034","25.0446663","88.75125","KmPost","Shapahar 19 km"
"R547","34.64","LRP034a","25.0459163","88.7481663","Bridge","P.C .Girder Bridge start"
"R547","34.815","LRP034b","25.0469719","88.7469441","Bridge","Bridge end"
"R547","34.908","LRP034c","25.047583","88.7461941","SideRoad,Left","Road left to sibpur Z 5464"
"R547","35.31","LRP035","25.0510833","88.7451108","KmPost","Information missing"
"R547","35.582","LRP035a","25.0529167","88.7437497","Culvert","R.C.C culvert"
"R547","36.094","LRP035b","25.05625","88.740083","Culvert","Box Culvert"
"R547","36.3","LRP036","25.0574444","88.7384163","KmPost","Shapahar 17 km"
"R547","36.668","LRP036a","25.0595556","88.7358608","Culvert","Box Culvert"
"R547","37.3","LRP037","25.0621944","88.7301382","KmPost","Information missing"
"R547","37.306","LRP037a","25.0623333","88.7299993","Culvert","Box culvert"
"R547","38.27","LRP037b","25.0676104","88.7220549","Culvert","Box culvert"
"R547","38.3","LRP038","25.0676104","88.7221938","KmPost","Km post missing"
"R547","38.541","LRP038a","25.0690827","88.7205827","Culvert","Box culvert"
"R547","38.747","LRP038b","25.0702493","88.7192771","Culvert","Box Culvert"
"R547","39.186","LRP038c","25.0721938","88.7154167","Culvert","Box Culvert"
"R547","39.3","LRP039","25.0726382","88.7143056","KmPost","Km post missing"
"R547","40.12","LRP039a","25.0756382","88.7069722","Culvert","Box culvert"
"R547","40.37","LRP040","25.0762216","88.7055556","KmPost","Shapahar 13 km"
"R547","41.28","LRP041","25.0796104","88.6963608","KmPost","Shapahar 12 km"
"R547","41.852","LRP041a","25.0813882","88.6910274","Culvert","Box culvert"
"R547","42.28","LRP042","25.0826938","88.6871663","KmPost","Km post missing"
"R547","42.516","LRP042a","25.0834997","88.684833","Others","Modhail Bot toli"
"R547","42.863","LRP042b","25.0851386","88.6816382","Culvert","Slab Culvert"
"R547","43.27","LRP043","25.0860274","88.677916","KmPost","Info missing"
"R547","43.674","LRP043a","25.0873052","88.6733882","Culvert","Slab Culvert"
"R547","43.985","LRP043b","25.0878052","88.6712216","Bridge","R.C.C Bridge start"
"R547","44.01","LRP043c","25.0878886","88.6710271","Bridge","R.C.C Bridge end"
"R547","44.26","LRP044","25.0887497","88.6690549","KmPost","Shapahar 9 km"
"R547","44.638","LRP044a","25.0903886","88.6655556","Culvert","Box culvert"
"R547","45.26","LRP045","25.093083","88.66025","KmPost","Shapahar 8 km"
"R547","46.265","LRP046","25.0979719","88.6514444","KmPost","Konjonpar 12 km"
"R547","47.265","LRP047","25.1024167","88.6427774","KmPost","Shapahar 6 km"
"R547","48.262","LRP047a","25.10525","88.6338052","Culvert","Box culvert"
"R547","48.29","LRP048","25.1053889","88.6335274","KmPost","Shapahar 5 km"
"R547","49.005","LRP048a","25.1073056","88.6264716","Culvert","Box culvert"
"R547","49.28","LRP049","25.1085","88.6242493","KmPost","Shapahar 4 km"
"R547","50.177","LRP049a","25.1118056","88.6161667","Culvert","Box Culvert"
"R547","50.28","LRP050","25.1121389","88.61525","KmPost","Konjonpur16 km"
"R547","50.423","LRP050a","25.1126667","88.6139444","Culvert","Box Culvert"
"R547","51.022","LRP050b","25.1151111","88.6086944","Culvert","Box culvert"
"R547","51.275","LRP051","25.1161111","88.6065","KmPost","Km post missing"
"R547","51.438","LRP051a","25.1172493","88.6041944","Culvert","Box culvert"
"R547","52.275","LRP052","25.1209438","88.5980552","KmPost","Km post missing"
